id,ROI,ROI_rename,ROI_abbr
4,3rd-Ventricle,3rd Ventricle,3rd Ventricle
11,4th-Ventricle,4th Ventricle,4th Ventricle
23,Right-Accumbens-Area,Right Accumbens Area,R. Accumbens Area
30,Left-Accumbens-Area,Left Accumbens Area,L. Accumbens Area
31,Right-Amygdala,Right Amygdala,R. Amygdala
32,Left-Amygdala,Left Amygdala,L. Amygdala
35,Brain-Stem,Brain Stem,Brain Stem
36,Right-Caudate,Right Caudate,R. Caudate
37,Left-Caudate,Left Caudate,L. Caudate
38,Right-Cerebellum-Exterior,Right Cerebellum Exterior,R. Cerebellum Ext.
39,Left-Cerebellum-Exterior,Left Cerebellum Exterior,L. Cerebellum Ext.
40,Right-Cerebellum-White-Matter,Right Cerebellum White Matter,R. Cerebellum WM
41,Left-Cerebellum-White-Matter,Left Cerebellum White Matter,L. Cerebellum WM
44,Right-Cerebral-White-Matter,Right Cerebral White Matter,R. Cerebral WM
45,Left-Cerebral-White-Matter,Left Cerebral White Matter,L. Cerebral WM
47,Right-Hippocampus,Right Hippocampus,R. Hippocampus
48,Left-Hippocampus,Left Hippocampus,L. Hippocampus
49,Right-Inf-Lat-Vent,Right Inf Lat Vent,R. Inf Lat Vent
50,Left-Inf-Lat-Vent,Left Inf Lat Vent,L. Inf Lat Vent
51,Right-Lateral-Ventricle,Right Lateral Ventricle,R. Lat. Ventricle
52,Left-Lateral-Ventricle,Left Lateral Ventricle,L. Lat. Ventricle
55,Right-Pallidum,Right Pallidum,R. Pallidum
56,Left-Pallidum,Left Pallidum,L. Pallidum
57,Right-Putamen,Right Putamen,R. Putamen
58,Left-Putamen,Left Putamen,L. Putamen
59,Right-Thalamus-Proper,Right Thalamus Proper,R. Thalamus Proper
60,Left-Thalamus-Proper,Left Thalamus Proper,L. Thalamus Proper
61,Right-Ventral-DC,Right Ventral DC,R. Ventral DC
62,Left-Ventral-DC,Left Ventral DC,L. Ventral DC
71,Cerebellar-Vermal-Lobules-I-V,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lob. I-V
72,Cerebellar-Vermal-Lobules-VI-VII,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lob. VI-VII
73,Cerebellar-Vermal-Lobules-VIII-X,Cerebellar Vermal Lobules VIII-X,Cerebellar Vermal Lob. VIII-X
75,Left-Basal-Forebrain,Left Basal Forebrain,L. Basal Forebrain
76,Right-Basal-Forebrain,Right Basal Forebrain,R. Basal Forebrain
100,Right-ACgG--anterior-cingulate-gyrus,Right Anterior Cingulate Gyrus,R. Ant. Cingulate Gyrus
101,Left-ACgG--anterior-cingulate-gyrus,Left Anterior Cingulate Gyrus,L. Ant. Cingulate Gyrus
102,Right-AIns--anterior-insula,Right Anterior Insula,R. Ant. Insula
103,Left-AIns--anterior-insula,Left Anterior Insula,L. Ant. Insula
104,Right-AOrG--anterior-orbital-gyrus,Right Anterior Orbital Gyrus,R. Ant. Orbital Gyrus
105,Left-AOrG--anterior-orbital-gyrus,Left Anterior Orbital Gyrus,L. Ant. Orbital Gyrus
106,Right-AnG---angular-gyrus,Right Angular Gyrus,R. Angular Gyrus
107,Left-AnG---angular-gyrus,Left Angular Gyrus,L. Angular Gyrus
108,Right-Calc--calcarine-cortex,Right Calcarine Cortex,R. Calcarine Cortex
109,Left-Calc--calcarine-cortex,Left Calcarine Cortex,L. Calcarine Cortex
112,Right-CO----central-operculum,Right Central Operculum,R. Central Operculum
113,Left-CO----central-operculum,Left Central Operculum,L. Central Operculum
114,Right-Cun---cuneus,Right Cuneus,R. Cuneus
115,Left-Cun---cuneus,Left Cuneus,L. Cuneus
116,Right-Ent---entorhinal-area,Right Entorhinal Area,R. Entorhinal Area
117,Left-Ent---entorhinal-area,Left Entorhinal Area,L. Entorhinal Area
118,Right-FO----frontal-operculum,Right Frontal Operculum,R. Front. Operculum
119,Left-FO----frontal-operculum,Left Frontal Operculum,L. Front. Operculum
120,Right-FRP---frontal-pole,Right Frontal Pole,R. Front. Pole
121,Left-FRP---frontal-pole,Left Frontal Pole,L. Front. Pole
122,Right-FuG---fusiform-gyrus,Right Fusiform Gyrus,R. Fusiform Gyrus
123,Left-FuG---fusiform-gyrus,Left Fusiform Gyrus,L. Fusiform Gyrus
124,Right-GRe---gyrus-rectus,Right Gyrus Rectus,R. Gyrus Rectus
125,Left-GRe---gyrus-rectus,Left Gyrus Rectus,L. Gyrus Rectus
128,Right-IOG---inferior-occipital-gyrus,Right Inferior Occipital Gyrus,R. Inf. Occipital Gyrus
129,Left-IOG---inferior-occipital-gyrus,Left Inferior Occipital Gyrus,L. Inf. Occipital Gyrus
132,Right-ITG---inferior-temporal-gyrus,Right Inferior Temporal Gyrus,R. Inf. Temp. Gyrus
133,Left-ITG---inferior-temporal-gyrus,Left Inferior Temporal Gyrus,L. Inf. Temp. Gyrus
134,Right-LiG---lingual-gyrus,Right Lingual Gyrus,R. Lingual Gyrus
135,Left-LiG---lingual-gyrus,Left Lingual Gyrus,L. Lingual Gyrus
136,Right-LOrG--lateral-orbital-gyrus,Right Lateral Orbital Gyrus,R. Lat. Orbital Gyrus
137,Left-LOrG--lateral-orbital-gyrus,Left Lateral Orbital Gyrus,L. Lat. Orbital Gyrus
138,Right-MCgG--middle-cingulate-gyrus,Right Middle Cingulate Gyrus,R. Mid. Cingulate Gyrus
139,Left-MCgG--middle-cingulate-gyrus,Left Middle Cingulate Gyrus,L. Mid. Cingulate Gyrus
140,Right-MFC---medial-frontal-cortex,Right Medial Frontal Cortex,R. Med. Front. Cortex
141,Left-MFC---medial-frontal-cortex,Left Medial Frontal Cortex,L. Med. Front. Cortex
142,Right-MFG---middle-frontal-gyrus,Right Middle Frontal Gyrus,R. Mid. Front. Gyrus
143,Left-MFG---middle-frontal-gyrus,Left Middle Frontal Gyrus,L. Mid. Front. Gyrus
144,Right-MOG---middle-occipital-gyrus,Right Middle Occipital Gyrus,R. Mid. Occipital Gyrus
145,Left-MOG---middle-occipital-gyrus,Left Middle Occipital Gyrus,L. Mid. Occipital Gyrus
146,Right-MOrG--medial-orbital-gyrus,Right Medial Orbital Gyrus,R. Med. Orbital Gyrus
147,Left-MOrG--medial-orbital-gyrus,Left Medial Orbital Gyrus,L. Med. Orbital Gyrus
148,Right-MPoG--postcentral-gyrus,Right Postcentral Gyrus Medial Segment,R. Postcent. Gyrus Med. Seg.
149,Left-MPoG--postcentral-gyrus,Left Postcentral Gyrus Medial Segment,L. Postcent. Gyrus Med. Seg.
150,Right-MPrG--precentral-gyrus,Right Precentral Gyrus Medial Segment,R. Precentral Gyrus Med. Seg.
151,Left-MPrG--precentral-gyrus,Left Precentral Gyrus Medial Segment,L. Precentral Gyrus Med. Seg.
152,Right-MSFG--superior-frontal-gyrus,Right Superior Frontal Gyrus Medial Segment,R. Sup. Front. Gyrus Med. Seg.
153,Left-MSFG--superior-frontal-gyrus,Left Superior Frontal Gyrus Medial Segment,L. Sup. Front. Gyrus Med. Seg.
154,Right-MTG---middle-temporal-gyrus,Right Middle Temporal Gyrus,R. Mid. Temp. Gyrus
155,Left-MTG---middle-temporal-gyrus,Left Middle Temporal Gyrus,L. Mid. Temp. Gyrus
156,Right-OCP---occipital-pole,Right Occipital Pole,R. Occipital Pole
157,Left-OCP---occipital-pole,Left Occipital Pole,L. Occipital Pole
160,Right-OFuG--occipital-fusiform-gyrus,Right Occipital Fusiform Gyrus,R. Occipital Fusiform Gyrus
161,Left-OFuG--occipital-fusiform-gyrus,Left Occipital Fusiform Gyrus,L. Occipital Fusiform Gyrus
162,Right-OpIFG-opercular-part-of-the-IFG,Right Opercular Part of the Inferior Frontal Gyrus,R. Opercular Pt.  the IFG
163,Left-OpIFG-opercular-part-of-the-IFG,Left Opercular Part of the Inferior Frontal Gyrus,L. Opercular Pt.  the IFG
164,Right-OrIFG-orbital-part-of-the-IFG,Right Orbital Part of the Inferior Frontal Gyrus,R. Orbital Pt.  the IFG
165,Left-OrIFG-orbital-part-of-the-IFG,Left Orbital Part of the Inferior Frontal Gyrus,L. Orbital Pt.  the IFG
166,Right-PCgG--posterior-cingulate-gyrus,Right Posterior Cingulate Gyrus,R. Post. Cingulate Gyrus
167,Left-PCgG--posterior-cingulate-gyrus,Left Posterior Cingulate Gyrus,L. Post. Cingulate Gyrus
168,Right-PCu---precuneus,Right Precuneus,R. Precuneus
169,Left-PCu---precuneus,Left Precuneus,L. Precuneus
170,Right-PHG---parahippocampal-gyrus,Right Parahippocampal Gyrus,R. Parahippocampal Gyrus
171,Left-PHG---parahippocampal-gyrus,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus
