id,ROI,ROI_rename,ROI_abbr
1,SUPERIOR_PARIETAL_LOBULE_left,Left Superior Parietal Lobule,L. Sup. Parietal Lobule
2,CINGULATE_GYRUS_left,Left Cingulate Gyrus,L. Cingulate Gyrus
3,SUPERIOR_FRONTAL_GYRUS_left,Left Superior Frontal Gyrus,L. Sup. Front. Gyrus
4,MIDDLE_FRONTAL_GYRUS_left,Left Middle Frontal Gyrus,L. Mid. Front. Gyrus
5,INFERIOR_FRONTAL_GYRUS_left,Left Inferior Frontal Gyrus,L. IFG
6,PRECENTRAL_GYRUS_left,Left Precentral Gyrus,L. Precentral Gyrus
7,POSTCENTRAL_GYRUS_left,Left Postcentral Gyrus,L. Postcent. Gyrus
8,ANGULAR_GYRUS_left,Left Angular Gyrus,L. Angular Gyrus
9,PRE-CUNEUS_left,Left Precuneus,L. Precuneus
10,CUNEUS_left,Left Cuneus,L. Cuneus
11,LINGUAL_GYRUS_left,Left Lingual Gyrus,L. Lingual Gyrus
12,FUSIFORM_GYRUS_left,Left Fusiform Gyrus,L. Fusiform Gyrus
13,PARAHIPPOCAMPAL_GYRUS_left,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus
14,SUPERIOR_OCCIPITAL_GYRUS_left,Left Superior Occipital Gyrus,L. Sup. Occipital Gyrus
15,INFERIOR_OCCIPITAL_GYRUS,Inferior Occipital Gyrus,Inf. Occipital Gyrus
16,MIDDLE_OCCIPITAL_GYRUS,Middle Occipital Gyrus,Mid. Occipital Gyrus
17,ENTORHINAL_AREA,Entorhinal Area,Entorhinal Area
18,SUPERIOR_TEMPORAL_GYRUS,Superior Temporal Gyrus,Sup. Temp. Gyrus
19,INFERIOR_TEMPORAL_GYRUS,Inferior Temporal Gyrus,Inf. Temp. Gyrus
20,MIDDLE_TEMPORAL_GYRUS,Middle Temporal Gyrus,Mid. Temp. Gyrus
21,LATERAL_FRONTO-ORBITAL_GYRUS,Lateral Fronto-orbital Gyrus,Lat. Forb. Gyrus
22,MIDDLE_FRONTO-ORBITAL_GYRUS,Middle Fronto-orbital Gyrus,Mid. Forb. Gyrus
23,SUPRAMARGINAL_GYRUS,Supramarginal Gyrus,Supramarginal Gyrus
24,GYRUS_RECTUS,Gyrus Rectus,Gyrus Rectus
25,INSULAR,Insular,Insular
26,AMYGDALA,Amygdala,Amygdala
27,HIPPOCAMPUS,Hippocampus,Hippocampus
28,CEREBELLUM,Cerebellum,Cerebellum
29,Corticospinal_tract_left,Left Corticospinal Tract,L. Corticospinal Tract
30,Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle,L. Inf. Cerebellar Peduncle
31,Medial_lemniscus_left,Left Medial Medial Lemniscus,L. Med. Med. Lemniscus
32,Superior_cerebellar_peduncle_left,Left Superior Cerebellar Peduncle,L. Sup. Cerebellar Peduncle
33,Cerebral_peduncle_left,Left Cerebral Peduncle,L. Cerebral Peduncle
34,Anterior_limb_of_internal_capsule_left,Left Anterior Limb of Internal Capsule,L. Ant. Limb  Int. Capsule
35,Posterior_limb_of_internal_capsule_left,Left Posterior Limb of Internal Capsule,L. Post. Limb  Int. Capsule
36,Posterior_thalamic_radiation_left,Left Posterior Thalamic Radiation,L. Post. Thalamic Radiation
37,Anterior_corona_radiata_left,Left Anterior Corona Radiata,L. Ant. Corona Radiata
38,Superior_corona_radiata_left,Left Superior Corona Radiata,L. Sup. Corona Radiata
39,Posterior_corona_radiata_left,Left Posterior Corona Radiata,L. Post. Corona Radiata
40,Cingulum_(cingulate_gyrus)_left,Left Cingulum (Cingulate Gyrus),L. Cing. (Cingulate Gyrus)
41,Cingulum_(hippocampus)_left,Left Cingulum (Hippocampus),L. Cing. (Hippocampus)
42,Fornix(cres)_Stria_terminalis_left,Left Fornix(cres) Stria Terminalis,L. Fornix(cres) ST
43,Superior_longitudinal_fasciculus_left,Left Superior Longitudinal Fasciculus,L. Sup. Long. Fasciculus
44,Superior_fronto-occipital_fasciculus_left,Left Superior Fronto-occipital Fasciculus,L. Sup. Focc. Fasciculus
45,Inferior_fronto-occipital_fasciculus_left,Left Inferior Fronto-occipital Fasciculus,L. Inf. Focc. Fasciculus
46,Sagittal_stratum_left,Left Sagittal Stratum,L. Sagittal Stratum
47,External_capsule_left,Left External Capsule,L. External Capsule
48,Uncinate_fasciculus_left,Left Uncinate Fasciculus,L. Uncinate Fasciculus
49,Pontine_crossing_tract_left,Left Pontine Crossing Tract,L. Pontine Crossing Tract
50,Middle_cerebellar_peduncle_left,Left Middle Cerebellar Peduncle,L. Mid. Cerebellar Peduncle
51,Fornix_(column_and_body)_left,Left Fornix (Column&Body),L. Fornix (Column&Body)
52,Genu_of_corpus_callosum_left,Left Genu of Corpus Callosum,L. Genu  CC
53,Body_of_corpus_callosum_left,Left Body of Corpus Callosum,L. Body  CC
54,Splenium_of_corpus_callosum_left,Left Splenium of Corpus Callosum,L. Splenium  CC
55,Retrolenticular_part_of_internal_capsule_left,Left Retrolenticular Part of Internal Capsule,L. Rl. Pt.  Int. Capsule
56,Red_Nucleus_left,Left Red Nucleus,L. Red Nucleus
57,Substancia_Nigra_left,Left Substancia Nigra,L. Substancia Nigra
58,Tapatum_left,Left Tapatum,L. Tapatum
59,CAUDATE_NUCLEUS_left,Left Caudate Nucleus,L. Caudate Nucleus
60,PUTAMEN_left,Left Putamen,L. Putamen
61,THALAMUS_left,Left Thalamus,L. Thalamus
62,GLOBUS_PALLIDUS_left,Left Globus Pallidus,L. Globus Pallidus
63,MIDBRAIN_left,Left Midbrain,L. Midbrain
64,PONS_left,Left Pons,L. Pons
65,MEDULLA_left,Left Medulla,L. Medulla
66,SUPERIOR_PARIETAL_LOBULE_right,Right Superior Parietal Lobule,R. Sup. Parietal Lobule
67,CINGULATE_GYRUS_right,Right Cingulate Gyrus,R. Cingulate Gyrus
68,SUPERIOR_FRONTAL_GYRUS_right,Right Superior Frontal Gyrus,R. Sup. Front. Gyrus
69,MIDDLE_FRONTAL_GYRUS_right,Right Middle Frontal Gyrus,R. Mid. Front. Gyrus
70,INFERIOR_FRONTAL_GYRUS_right,Right Inferior Frontal Gyrus,R. IFG
71,PRECENTRAL_GYRUS_right,Right Precentral Gyrus,R. Precentral Gyrus
72,POSTCENTRAL_GYRUS_right,Right Postcentral Gyrus,R. Postcent. Gyrus
73,ANGULAR_GYRUS_right,Right Angular Gyrus,R. Angular Gyrus
