id,ROI,ROI_rename
4,3rd-Ventricle,3rd Ventricle
11,4th-Ventricle,4th Ventricle
23,Right-Accumbens-Area,Right Accumbens Area
30,Left-Accumbens-Area,Left Accumbens Area
31,Right-Amygdala,Right Amygdala
32,Left-Amygdala,Left Amygdala
35,Brain-Stem,Brain Stem
36,Right-Caudate,Right Caudate
37,Left-Caudate,Left Caudate
38,Right-Cerebellum-Exterior,Right Cerebellum Exterior
39,Left-Cerebellum-Exterior,Left Cerebellum Exterior
40,Right-Cerebellum-White-Matter,Right Cerebellum White Matter
41,Left-Cerebellum-White-Matter,Left Cerebellum White Matter
44,Right-Cerebral-White-Matter,Right Cerebral White Matter
45,Left-Cerebral-White-Matter,Left Cerebral White Matter
47,Right-Hippocampus,Right Hippocampus
48,Left-Hippocampus,Left Hippocampus
49,Right-Inf-Lat-Vent,Right Inf Lat Vent
50,Left-Inf-Lat-Vent,Left Inf Lat Vent
51,Right-Lateral-Ventricle,Right Lateral Ventricle
52,Left-Lateral-Ventricle,Left Lateral Ventricle
55,Right-Pallidum,Right Pallidum
56,Left-Pallidum,Left Pallidum
57,Right-Putamen,Right Putamen
58,Left-Putamen,Left Putamen
59,Right-Thalamus-Proper,Right Thalamus Proper
60,Left-Thalamus-Proper,Left Thalamus Proper
61,Right-Ventral-DC,Right Ventral DC
62,Left-Ventral-DC,Left Ventral DC
71,Cerebellar-Vermal-Lobules-I-V,Cerebellar Vermal Lobules I-V
72,Cerebellar-Vermal-Lobules-VI-VII,Cerebellar Vermal Lobules VI-VII
73,Cerebellar-Vermal-Lobules-VIII-X,Cerebellar Vermal Lobules VIII-X
75,Left-Basal-Forebrain,Left Basal Forebrain
76,Right-Basal-Forebrain,Right Basal Forebrain
100,Right-ACgG--anterior-cingulate-gyrus,Right Anterior Cingulate Gyrus
101,Left-ACgG--anterior-cingulate-gyrus,Left Anterior Cingulate Gyrus
102,Right-AIns--anterior-insula,Right Anterior Insula
103,Left-AIns--anterior-insula,Left Anterior Insula
104,Right-AOrG--anterior-orbital-gyrus,Right Anterior Orbital Gyrus
105,Left-AOrG--anterior-orbital-gyrus,Left Anterior Orbital Gyrus
106,Right-AnG---angular-gyrus,Right Angular Gyrus
107,Left-AnG---angular-gyrus,Left Angular Gyrus
108,Right-Calc--calcarine-cortex,Right Calcarine Cortex
109,Left-Calc--calcarine-cortex,Left Calcarine Cortex
112,Right-CO----central-operculum,Right Central Operculum
113,Left-CO----central-operculum,Left Central Operculum
114,Right-Cun---cuneus,Right Cuneus
115,Left-Cun---cuneus,Left Cuneus
