id,ROI,ROI_rename
1,SUPERIOR_PARIETAL_LOBULE_left,Left Superior Parietal Lobule
2,CINGULATE_GYRUS_left,Left Cingulate Gyrus
3,SUPERIOR_FRONTAL_GYRUS_left,Left Superior Frontal Gyrus
4,MIDDLE_FRONTAL_GYRUS_left,Left Middle Frontal Gyrus
5,INFERIOR_FRONTAL_GYRUS_left,Left Inferior Frontal Gyrus
6,PRECENTRAL_GYRUS_left,Left Precentral Gyrus
7,POSTCENTRAL_GYRUS_left,Left Postcentral Gyrus
8,ANGULAR_GYRUS_left,Left Angular Gyrus
9,PRE-CUNEUS_left,Left Precuneus
10,CUNEUS_left,Left Cuneus
11,LINGUAL_GYRUS_left,Left Lingual Gyrus
12,FUSIFORM_GYRUS_left,Left Fusiform Gyrus
13,PARAHIPPOCAMPAL_GYRUS_left,Left Parahippocampal Gyrus
14,SUPERIOR_OCCIPITAL_GYRUS_left,Left Superior Occipital Gyrus
15,INFERIOR_OCCIPITAL_GYRUS,Left Inferior Occipital Gyrus
16,MIDDLE_OCCIPITAL_GYRUS,Left Middle Occipital Gyrus
17,ENTORHINAL_AREA,Left Entorhinal Area
18,SUPERIOR_TEMPORAL_GYRUS,Left Superior Temporal Gyrus
19,INFERIOR_TEMPORAL_GYRUS,Left Inferior Temporal Gyrus
20,MIDDLE_TEMPORAL_GYRUS,Left Middle Temporal Gyrus
21,LATERAL_FRONTO-ORBITAL_GYRUS,Left Lateral Fronto-orbital Gyrus
22,MIDDLE_FRONTO-ORBITAL_GYRUS,Left Middle Fronto-orbital Gyrus
23,SUPRAMARGINAL_GYRUS,Left Supramarginal Gyrus
24,GYRUS_RECTUS,Left Gyrus Rectus
25,INSULAR,Left Insular
26,AMYGDALA,Left Amygdala
27,HIPPOCAMPUS,Left Hippocampus
28,CEREBELLUM,Left Cerebellum
29,Corticospinal_tract_left,Left Corticospinal Tract
30,Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle
31,Medial_lemniscus_left,Left Medial Medial Lemniscus
32,Superior_cerebellar_peduncle_left,Left Superior Cerebellar Peduncle
33,Cerebral_peduncle_left,Left Cerebral Peduncle
34,Anterior_limb_of_internal_capsule_left,Left Anterior Limb of Internal Capsule
35,Posterior_limb_of_internal_capsule_left,Left Posterior Limb of Internal Capsule
36,Posterior_thalamic_radiation_left,Left Posterior Thalamic Radiation
37,Anterior_corona_radiata_left,Left Anterior Corona Radiata
38,Superior_corona_radiata_left,Left Superior Corona Radiata
39,Posterior_corona_radiata_left,Left Posterior Corona Radiata
40,Cingulum_(cingulate_gyrus)_left,Left Cingulum (Cingulate Gyrus)
41,Cingulum_(hippocampus)_left,Left Cingulum (Hippocampus)
42,Fornix(cres)_Stria_terminalis_left,Left Fornix(cres) Stria Terminalis
43,Superior_longitudinal_fasciculus_left,Left Superior Longitudinal Fasciculus
44,Superior_fronto-occipital_fasciculus_left,Left Superior Fronto-occipital Fasciculus
45,Inferior_fronto-occipital_fasciculus_left,Left Inferior Fronto-occipital Fasciculus
46,Sagittal_stratum_left,Left Sagittal Stratum
47,External_capsule_left,Left External Capsule
48,Uncinate_fasciculus_left,Left Uncinate Fasciculus
49,Pontine_crossing_tract_left,Left Pontine Crossing Tract
50,Middle_cerebellar_peduncle_left,Left Middle Cerebellar Peduncle
51,Fornix_(column_and_body)_left,Left Fornix (Column&Body)
52,Genu_of_corpus_callosum_left,Left Genu of Corpus Callosum
53,Body_of_corpus_callosum_left,Left Body of Corpus Callosum
54,Splenium_of_corpus_callosum_left,Left Splenium of Corpus Callosum
55,Retrolenticular_part_of_internal_capsule_left,Left Retrolenticular Part of Internal Capsule
56,Red_Nucleus_left,Left Red Nucleus
57,Substancia_Nigra_left,Left Substancia Nigra
58,Tapatum_left,Left Tapatum
59,CAUDATE_NUCLEUS_left,Left Caudate Nucleus
60,PUTAMEN_left,Left Putamen
61,THALAMUS_left,Left Thalamus
62,GLOBUS_PALLIDUS_left,Left Globus Pallidus
63,MIDBRAIN_left,Left Midbrain
64,PONS_left,Left Pons
65,MEDULLA_left,Left Medulla
66,SUPERIOR_PARIETAL_LOBULE_right,Right Superior Parietal Lobule
67,CINGULATE_GYRUS_right,Right Cingulate Gyrus
68,SUPERIOR_FRONTAL_GYRUS_right,Right Superior Frontal Gyrus
69,MIDDLE_FRONTAL_GYRUS_right,Right Middle Frontal Gyrus
70,INFERIOR_FRONTAL_GYRUS_right,Right Inferior Frontal Gyrus
71,PRECENTRAL_GYRUS_right,Right Precentral Gyrus
72,POSTCENTRAL_GYRUS_right,Right Postcentral Gyrus
73,ANGULAR_GYRUS_right,Right Angular Gyrus
74,PRE-CUNEUS_right,Right Precuneus
75,CUNEUS_right,Right Cuneus
76,LINGUAL_GYRUS_right,Right Lingual Gyrus
77,FUSIFORM_GYRUS_right,Right Fusiform Gyrus
78,PARAHIPPOCAMPAL_GYRUS_right,Right Parahippocampal Gyrus
79,SUPERIOR_OCCIPITAL_GYRUS_right,Right Superior Occipital Gyrus
80,INFERIOR_OCCIPITAL_GYRUS_right,Right Inferior Occipital Gyrus
81,MIDDLE_OCCIPITAL_GYRUS_right,Right Middle Occipital Gyrus
82,ENTORHINAL_AREA_right,Right Entorhinal Area
83,SUPERIOR_TEMPORAL_GYRUS_right,Right Superior Temporal Gyrus
84,INFERIOR_TEMPORAL_GYRUS_right,Right Inferior Temporal Gyrus
85,MIDDLE_TEMPORAL_GYRUS_right,Right Middle Temporal Gyrus
