ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
3rd-Ventricle,3rd Ventricle,3rd Ventricle,-0.0683810272219056,0.0002039758516835,0.405285260320226,3.3945324035308537e-22,0.652154811481177,1.5287002336354364e-05,,,0.0685487583016325,0.0024531436700095
4th-Ventricle,4th Ventricle,4th Ventricle,,,-0.315134221789341,9.457395133856671e-12,1.04329656589314,1.5361657597253111e-09,-0.124184946526747,0.0133628649468561,0.119314739101912,5.395952566461045e-06
Right-Accumbens-Area,Right Accumbens Area,R. Accumbens Area,-0.0706464608744457,2.011467676756558e-05,0.379815970946692,3.8328733897620655e-17,0.33711381109517,0.036847226499076,0.181944381469798,0.0004308070505825,,
Left-Accumbens-Area,Left Accumbens Area,L. Accumbens Area,-0.136530434987485,4.109095720845497e-16,0.335371135038129,2.7407589616931342e-14,,,0.169464474782161,0.0012904373225672,,
Right-Amygdala,Right Amygdala,R. Amygdala,,,0.471084999860898,9.707255779543741e-30,,,0.495520736639239,6.236606119999501e-20,,
Left-Amygdala,Left Amygdala,L. Amygdala,0.0608248121047853,0.0004258260548023,0.557546693349163,3.375102547800328e-36,0.295804087125159,0.0751383421738341,0.121602011534528,0.0287902874246431,-0.125414642091573,7.80972303829981e-08
Brain-Stem,Brain Stem,Brain Stem,0.0376408259577016,0.0447909171345457,0.463687991660865,6.677336947022093e-52,-0.338372621466298,0.0024481014056664,0.350194740568541,3.1236180277817362e-09,-0.0762008901019461,8.854151282518881e-07
Right-Caudate,Right Caudate,R. Caudate,0.0766454399530989,6.307211813739366e-05,-0.189674135829893,1.2050863984106024e-10,,,0.23535548882538,0.0001347085887531,-0.0495113912465936,0.0007213964639396
Left-Caudate,Left Caudate,L. Caudate,0.0364082453811447,0.0592956500066685,-0.261184027194622,6.485093929818105e-20,-0.316482086737972,0.0024515609342415,0.224181404728249,0.0002813154831944,-0.0671149804393388,4.044908398478407e-06
Right-Cerebellum-Exterior,Right Cerebellum Exterior,R. Cerebellum Ext.,0.106891624771886,7.223068036259821e-11,0.265454457837865,3.392357252444732e-09,1.16568146700658,6.120269575812345e-13,0.263190084447903,2.201833008666167e-07,0.124373656127415,2.3457425173008258e-07
Left-Cerebellum-Exterior,Left Cerebellum Exterior,L. Cerebellum Ext.,0.0567080828180273,0.0006266496680758,0.48520724223665,9.286051008084828e-27,0.95980623032631,4.497769846853113e-09,0.322618772059866,4.031870667629398e-10,0.0877742115706654,0.0003823088005706
Right-Cerebellum-White-Matter,Right Cerebellum White Matter,R. Cerebellum WM,0.228999596617666,1.3705245162544602e-32,0.348092064267864,5.2685510505248454e-24,,,,,0.0849472170294569,4.549252537847072e-07
Left-Cerebellum-White-Matter,Left Cerebellum White Matter,L. Cerebellum WM,0.207447610913585,1.1423615414522867e-30,0.489798217134235,1.2275489621354243e-47,,,0.137024404471932,0.0172743685536693,0.0650355962869108,9.2166222978109e-05
Right-Cerebral-White-Matter,Right Cerebral White Matter,R. Cerebral WM,0.200314466010954,5.2923355921434816e-30,0.392889565137129,6.273710112563977e-36,,,0.317544556937317,6.873185419912323e-09,0.170158832902674,9.863200421617616e-31
Left-Cerebral-White-Matter,Left Cerebral White Matter,L. Cerebral WM,0.206312138795128,2.1375241626470752e-30,0.483590028170667,2.258058817168741e-59,,,0.31548943368489,1.9407821373058106e-08,0.134281054130894,8.857813808927769e-22
Right-Hippocampus,Right Hippocampus,R. Hippocampus,-0.0992077242303739,5.212038170043955e-09,0.370637170701659,5.167527436880448e-16,0.477315690507162,0.0047878289494046,0.191868638799201,0.00031912824385,0.0885718123627231,0.0003823088005706
Left-Hippocampus,Left Hippocampus,L. Hippocampus,-0.169325542809323,2.314579968478264e-23,-0.216538480148536,1.0832413022649557e-07,0.646359041207349,1.0257111331236546e-05,-0.219919115529574,3.7582148956523264e-05,,
Right-Inf-Lat-Vent,Right Inf Lat Vent,R. Inf Lat Vent,0.100996670366702,4.6941867314456335e-11,,,0.401828913455803,0.0274148518846862,0.237725740617506,4.2989089129411445e-07,0.119806693861553,5.861618832757555e-06
Left-Inf-Lat-Vent,Left Inf Lat Vent,L. Inf Lat Vent,0.0666222358354275,0.0001258454238862,-0.251165994171357,2.3426609658885343e-08,0.439109983381077,0.0085893211444201,0.160375180285909,0.0033859907738451,-0.0463704168382159,0.0822208936064624
Right-Lateral-Ventricle,Right Lateral Ventricle,R. Lat. Ventricle,-0.0880221320077146,3.380152315344568e-08,,,,,-0.200139110321072,6.660192903981598e-05,0.36533373453827,2.5584304667756057e-58
Left-Lateral-Ventricle,Left Lateral Ventricle,L. Lat. Ventricle,-0.0869127627194209,2.9902488796534645e-08,-0.138369316804758,0.0027829830708411,0.30141014436385,0.0846665825558138,-0.218942937581079,5.781020480605689e-06,0.307530437052776,5.288411818274317e-37
Right-Pallidum,Right Pallidum,R. Pallidum,,,0.668703561156059,6.420281093452722e-79,,,0.513682196592707,1.2318058154965504e-19,,
Left-Pallidum,Left Pallidum,L. Pallidum,,,0.333172445652708,1.3827810404469101e-21,,,,,-0.0995766695114391,5.9638377244557595e-09
Right-Putamen,Right Putamen,R. Putamen,0.078601650195461,6.82282892116244e-06,0.892939189116503,1.0602236116295068e-149,,,0.581375431020707,1.092259187748072e-25,0.0335516171315128,0.0638787042142253
Left-Putamen,Left Putamen,L. Putamen,,,0.649340276067439,8.162211833572757e-67,,,,,-0.0479571829727894,0.0132086539060049
Right-Thalamus-Proper,Right Thalamus Proper,R. Thalamus Proper,0.153327254581448,9.929522332352748e-21,0.410524328676676,3.263463711812633e-33,,,0.463402554001818,1.2318058154965504e-19,-0.0997434721274703,3.2774212507318084e-09
Left-Thalamus-Proper,Left Thalamus Proper,L. Thalamus Proper,0.124702850163785,3.829574694853368e-14,0.314541914203801,1.5701522771765927e-22,,,0.328910922782091,4.031870667629398e-10,-0.120728220746214,9.293197285411836e-15
Right-Ventral-DC,Right Ventral DC,R. Ventral DC,,,0.316872542408033,3.0863937474208904e-21,,,0.386589928096473,3.8742777124165614e-16,-0.0680408410402106,5.213567609602872e-05
Left-Ventral-DC,Left Ventral DC,L. Ventral DC,,,0.241450086736248,2.764673135181028e-11,,,0.239447897093928,1.402874782968088e-06,-0.100549028338231,2.439625585911733e-08
Cerebellar-Vermal-Lobules-I-V,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lob. I-V,-0.0517731453181167,0.0052926372673637,0.832857907509989,1.9373020645527083e-104,-0.295637556826882,0.0274148518846862,0.152310135891617,0.0104851409554901,,
Cerebellar-Vermal-Lobules-VI-VII,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lob. VI-VII,0.0430747285404692,0.0290791496073481,0.707858641961028,4.2251136492475534e-78,-0.392822306723162,0.0024515609342415,0.284069358475871,4.783506367624207e-06,,
Cerebellar-Vermal-Lobules-VIII-X,Cerebellar Vermal Lobules VIII-X,Cerebellar Vermal Lob. VIII-X,0.200312564006521,2.1829068571929976e-33,0.821078356026508,9.543784473866205e-131,-0.479493829268696,2.088339690018569e-05,0.453947226921683,5.331810372429152e-19,,
