ROI_original,ROI_rename,ROI_abbr,coefficient:Age_base,pvalue:Age_base,coefficient:Age_interval,pvalue:Age_interval,coefficient:Motion,pvalue:Motion,coefficient:Sex,pvalue:Sex,coefficient:Rescan,pvalue:Rescan
SUPERIOR_PARIETAL_LOBULE_left,Left Superior Parietal Lobule,L. Sup. Parietal Lobule,,,0.424524820875446,7.638784653161066e-53,,,0.259143310931703,3.0469606122269935e-05,0.0376842178724116,0.011920798993424
CINGULATE_GYRUS_left,Left Cingulate Gyrus,L. Cingulate Gyrus,0.211838092710009,1.7595134617030644e-32,0.883787880520168,2.2587625778992268e-157,-0.263096575187788,0.0438015929380083,0.251605550073491,4.728548085925024e-06,-0.0320467074729082,0.1061064164713987
SUPERIOR_FRONTAL_GYRUS_left,Left Superior Frontal Gyrus,L. Sup. Front. Gyrus,-0.0380573880442977,0.0741400378652902,0.463872626349407,3.076657248040008e-52,0.239694537589819,0.0399436299253391,-0.196906614388341,0.0017832921879443,,
MIDDLE_FRONTAL_GYRUS_left,Left Middle Frontal Gyrus,L. Mid. Front. Gyrus,-0.0891200828794617,1.3978595393478124e-05,0.476606745620851,1.0057956342023185e-56,0.829516824939738,4.448853907609323e-15,-0.370254934500587,1.8216264663240675e-09,-0.0576174706983464,0.0004588434321004
INFERIOR_FRONTAL_GYRUS_left,Left Inferior Frontal Gyrus,L. IFG,0.0641319500547088,0.0016073460820382,0.741809391197137,1.2762693200292783e-105,0.489288744178249,0.0001022246902916,,,-0.0707303635966495,9.98070898428155e-05
PRECENTRAL_GYRUS_left,Left Precentral Gyrus,L. Precentral Gyrus,0.0579074339498932,0.0049626827347878,0.428637209790185,1.263779496965262e-47,,,,,,
POSTCENTRAL_GYRUS_left,Left Postcentral Gyrus,L. Postcent. Gyrus,0.0694891799213993,0.0006711867867269,0.245696252686649,1.8068997023657442e-13,,,,,0.131041091500207,8.177820871977288e-16
ANGULAR_GYRUS_left,Left Angular Gyrus,L. Angular Gyrus,0.0868057574539074,2.4015830364599637e-05,0.407620717515066,1.4486779907087335e-36,-0.212751001114407,0.1255992413476364,,,0.038638458255444,0.0438465717756484
PRE-CUNEUS_left,Left Precuneus,L. Precuneus,0.130560369478709,5.559455407420315e-13,0.874760953207444,2.7659137480186725e-180,-0.250773818776761,0.0262689434965989,0.161674223687982,0.0044480359366044,,
CUNEUS_left,Left Cuneus,L. Cuneus,0.220278229808128,3.569425954671321e-34,0.951341871361984,1.1351800043674144e-288,-0.318491274483782,0.0003239605787103,0.13842932727117,0.0137352644890544,,
LINGUAL_GYRUS_left,Left Lingual Gyrus,L. Lingual Gyrus,0.146324274263949,1.6448281609541177e-18,1.03353607756204,1.3480102141297354e-239,,,0.314385393659675,7.96848738624494e-10,,
FUSIFORM_GYRUS_left,Left Fusiform Gyrus,L. Fusiform Gyrus,0.129874708179096,1.3150625778711907e-14,0.867254296837665,7.604012175308823e-124,1.10601208643283,2.0143594829873333e-18,0.267989577158757,2.3496362455115925e-07,-0.0346710933758253,0.1252790764519196
PARAHIPPOCAMPAL_GYRUS_left,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus,-0.112433829608357,6.917003156874742e-09,-0.321327353973306,3.950319006270419e-26,,,,,-0.0732198211171376,3.84732836423658e-06
SUPERIOR_OCCIPITAL_GYRUS_left,Left Superior Occipital Gyrus,L. Sup. Occipital Gyrus,0.114678150550745,7.426620358192366e-09,0.733514188853994,4.6624239968739216e-163,-0.311497966087567,0.0011311370067213,,,,
INFERIOR_OCCIPITAL_GYRUS,Left Inferior Occipital Gyrus,L. Inf. Occipital Gyrus,0.0718791894151962,0.0002771478499179,0.746117306286333,1.6002258269897058e-109,0.421576643445251,0.0009328257654665,0.182933718151271,0.002555294372824,0.0453198430681907,0.0175613046763948
MIDDLE_OCCIPITAL_GYRUS,Left Middle Occipital Gyrus,L. Mid. Occipital Gyrus,0.167813564954263,5.2188144419251165e-20,0.956756957580194,7.220481264822632e-218,-0.265602111036023,0.0234137143958365,,,0.0404113988874368,0.0159224665185029
ENTORHINAL_AREA,Left Entorhinal Area,L. Entorhinal Area,,,0.345274921692697,6.693169708299194e-16,0.455831620473444,0.0064708095163942,,,-0.0671938299877679,0.0079435394911529
SUPERIOR_TEMPORAL_GYRUS,Left Superior Temporal Gyrus,L. Sup. Temp. Gyrus,0.196100571923837,2.4867019560932942e-24,-0.195884051749318,1.391120778186174e-07,,,,,,
INFERIOR_TEMPORAL_GYRUS,Left Inferior Temporal Gyrus,L. Inf. Temp. Gyrus,,,0.145683409582279,0.0003196363105353,1.77502405384015,1.061006342619036e-37,,,-0.0721716556129835,0.0018814007143659
MIDDLE_TEMPORAL_GYRUS,Left Middle Temporal Gyrus,L. Mid. Temp. Gyrus,-0.150525242456505,5.0579726009237337e-14,0.139525835233697,4.022410874776571e-05,0.753732705186509,6.392121378357012e-11,-0.170867909756015,0.0059712272630496,,
LATERAL_FRONTO-ORBITAL_GYRUS,Left Lateral Fronto-orbital Gyrus,L. Lat. Forb. Gyrus,,,0.427157399600519,5.530791237758905e-28,1.48078559035177,3.6388880403659223e-28,-0.12411272424948,0.0283241061382794,-0.118312353312247,1.980694806467549e-08
MIDDLE_FRONTO-ORBITAL_GYRUS,Left Middle Fronto-orbital Gyrus,L. Mid. Forb. Gyrus,0.032515832266655,0.0817461726434621,0.604404521614572,1.9562449844512013e-52,1.40649870146498,8.423141516442324e-25,0.147699702377652,0.0059712272630496,-0.0731105042542696,0.0011887702462452
SUPRAMARGINAL_GYRUS,Left Supramarginal Gyrus,L. Supramarginal Gyrus,0.131470961631787,9.237104819378276e-11,0.46389017091916,4.702076628511079e-50,,,,,,
GYRUS_RECTUS,Left Gyrus Rectus,L. Gyrus Rectus,0.145860578241248,7.018263054871823e-17,0.635681303688584,4.568654187270584e-59,0.887479931010751,2.1489973976624983e-10,0.25355721997617,2.360019153589425e-06,-0.0606809691503333,0.0074945762833757
INSULAR,Left Insular,L. Insular,-0.128409772402383,4.576083910693349e-12,1.0550776005829,1.732758087930036e-132,0.934846691253613,5.82647588775125e-10,-0.148208212138621,0.0091289614569448,-0.0882712896610677,0.0001835020857288
AMYGDALA,Left Amygdala,L. Amygdala,-0.067505222281524,0.0001969386828954,0.387301974636614,2.9586210638818824e-19,0.711500582758126,9.241083663325444e-06,0.189398805291686,0.0004924196234937,-0.111106861806296,5.321340810888434e-06
HIPPOCAMPUS,Left Hippocampus,L. Hippocampus,-0.046459129597311,0.0190003807282902,-0.162022712180528,0.0001323427840154,,,-0.145665113030011,0.0131729211436314,0.0813546704165892,0.0003396632069091
CEREBELLUM,Left Cerebellum,L. Cerebellum,-0.0382828416282573,0.0515397443820984,0.470721459301607,4.1264138952584315e-31,0.993192877823951,8.007078234296881e-12,0.393605600803235,2.904543678724636e-12,0.0453420383371037,0.0655070676562873
Corticospinal_tract_left,Left Corticospinal Tract,L. Corticospinal Tract,0.0595716025455451,0.0041616013913574,-0.0657554834145124,0.0354963503865536,,,0.195138653876114,0.0022152890593597,-0.0606455864305064,0.0001519139039937
Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle,L. Inf. Cerebellar Peduncle,0.116539523067114,2.2209427999720407e-10,0.560440780266302,2.942771773391321e-55,-0.469198768996905,0.0002577010206995,0.182235644531746,0.0015526338085692,,
Medial_lemniscus_left,Left Medial Medial Lemniscus,L. Med. Med. Lemniscus,0.0710290042830177,0.000393370862225,0.391365047351154,1.1977624221614835e-25,,,,,-0.0463426904553679,0.0272608378324411
Superior_cerebellar_peduncle_left,Left Superior Cerebellar Peduncle,L. Sup. Cerebellar Peduncle,0.0532681023208772,0.0049626827347878,0.79023391325382,5.438751597507083e-93,,,0.13231338076184,0.020839254618675,-0.0795238388398642,8.087828136161689e-05
Cerebral_peduncle_left,Left Cerebral Peduncle,L. Cerebral Peduncle,0.266266591122555,1.6224226740132547e-48,0.187181895606162,1.0563571849347179e-07,,,0.129333216439425,0.0195611583923726,,
Anterior_limb_of_internal_capsule_left,Left Anterior Limb of Internal Capsule,L. Ant. Limb  Int. Capsule,0.165540305226531,8.117295152466241e-20,0.182827504148488,6.84748432979737e-08,,,0.120567737701194,0.0369199139343468,,
Posterior_limb_of_internal_capsule_left,Left Posterior Limb of Internal Capsule,L. Post. Limb  Int. Capsule,0.0772577508014935,6.90525245935952e-05,0.310039801250387,1.208872259933052e-19,,,,,,
Posterior_thalamic_radiation_left,Left Posterior Thalamic Radiation,L. Post. Thalamic Radiation,0.194385610884732,9.484798953486989e-22,-0.0909102634369108,1.0982581235357553e-07,-0.185841991822571,0.0049859657164496,0.295037376474443,3.5824762786649706e-06,0.0320868147206987,0.000554682440177
Anterior_corona_radiata_left,Left Anterior Corona Radiata,L. Ant. Corona Radiata,-0.0495771784552671,0.0236472759828377,,,-0.23834001004898,0.003054977937205,0.426896048881082,4.6001357401033386e-11,,
Superior_corona_radiata_left,Left Superior Corona Radiata,L. Sup. Corona Radiata,0.0979611408846121,4.773512185104525e-06,0.315923878912057,3.9550623029970917e-48,,,0.29974692725297,5.235829707546361e-06,,
Posterior_corona_radiata_left,Left Posterior Corona Radiata,L. Post. Corona Radiata,0.137734508842485,7.936251705990872e-12,-0.0483952753674948,0.0248207190078223,-0.193944922296102,0.0161663522960741,0.382556204247746,7.96848738624494e-10,,
Cingulum_(cingulate_gyrus)_left,Left Cingulum (Cingulate Gyrus),L. Cing. (Cingulate Gyrus),-0.061770322846985,0.0026555391225293,0.246824512242204,1.875174736220081e-17,-0.630071580873534,1.9560206292936636e-10,0.509075527758137,1.7149888333883414e-16,,
Cingulum_(hippocampus)_left,Left Cingulum (Hippocampus),L. Cing. (Hippocampus),0.122406630017592,1.4188744072713532e-11,,,,,0.273985474387706,9.791281742801034e-07,,
Fornix(cres)_Stria_terminalis_left,Left Fornix(cres) Stria Terminalis,L. Fornix(cres) ST,0.180432937191451,1.835399095711981e-20,0.340218482162639,5.407108902304503e-41,-0.312555529308255,0.0013728702386554,0.313189377895222,2.3575608379504746e-07,-0.0446775375024262,0.0014851144736897
Superior_longitudinal_fasciculus_left,Left Superior Longitudinal Fasciculus,L. Sup. Long. Fasciculus,0.0826194351751546,0.0001078478167576,0.204898595826722,2.4813855873581705e-14,,,0.179068895432092,0.0059712272630496,,
Superior_fronto-occipital_fasciculus_left,Left Superior Fronto-occipital Fasciculus,L. Sup. Focc. Fasciculus,-0.123403099642363,4.150143768463537e-09,-0.357576887109647,2.4876777006330734e-35,,,0.270459380514043,3.5727125174418945e-05,-0.0506666565266287,0.0008013918480812
Inferior_fronto-occipital_fasciculus_left,Left Inferior Fronto-occipital Fasciculus,L. Inf. Focc. Fasciculus,-0.0555323944382002,0.0079466164990235,-0.0897151497149428,0.0066966462614664,-0.376279125111575,0.0018679838990894,,,,
Sagittal_stratum_left,Left Sagittal Stratum,L. Sagittal Stratum,0.24280592092184,1.9347755319474385e-35,-0.126257354722922,4.287694276855764e-08,,,0.181051450843605,0.0031216435437344,,
External_capsule_left,Left External Capsule,L. External Capsule,-0.0495566566761811,0.0178850119548508,,,,,0.214289437533898,0.0006629208195094,-0.096005741715768,8.450986723538574e-11
Uncinate_fasciculus_left,Left Uncinate Fasciculus,L. Uncinate Fasciculus,,,0.213236162888004,3.135939798311133e-07,0.944452957271159,2.5445270336574964e-10,0.213546953703106,0.0001443763079449,-0.0662486758824303,0.0064895343250785
Pontine_crossing_tract_left,Left Pontine Crossing Tract,L. Pontine Crossing Tract,,,-0.0985255235139395,0.0118572433382563,0.327186148557052,0.0375451625492442,,,-0.0518647118977541,0.0231596153701849
Middle_cerebellar_peduncle_left,Left Middle Cerebellar Peduncle,L. Mid. Cerebellar Peduncle,0.0988799679196724,2.725216080380753e-07,0.602759630793223,1.7972268767339478e-77,-0.237358182556951,0.0582445985469962,0.244368757913702,3.757630117928031e-05,,
Fornix_(column_and_body)_left,Left Fornix (Column&Body),L. Fornix (Column&Body),-0.381334863456365,4.352792063902644e-95,-0.296030604500464,2.384075612728437e-21,-0.223567588447758,0.0692718570223504,-0.193027343023447,0.0002911006730702,,
Genu_of_corpus_callosum_left,Left Genu of Corpus Callosum,L. Genu  CC,0.286880982417312,8.478019001343496e-46,0.211788729406782,1.022520015785032e-15,,,0.178609293345282,0.0042559143657048,0.0603939582797673,1.05126586781216e-05
Body_of_corpus_callosum_left,Left Body of Corpus Callosum,L. Body  CC,0.330225794780354,9.735268480474897e-67,0.438631584742675,7.589119505783454e-60,-0.242460901262489,0.0235785125506525,0.286526528311066,4.146343797038758e-07,0.109542283030938,8.177820871977288e-16
Splenium_of_corpus_callosum_left,Left Splenium of Corpus Callosum,L. Splenium  CC,0.245036274311737,3.779974429847312e-39,0.543599865854426,1.0653799682241448e-91,,,0.244681278078999,2.4983087832349217e-05,,
Retrolenticular_part_of_internal_capsule_left,Left Retrolenticular Part of Internal Capsule,L. Rl. Pt.  Int. Capsule,0.282089259422828,1.0548316359357144e-49,0.165438384196598,1.020681831353178e-09,,,0.364756352801942,1.240230698283232e-10,-0.13342943745929,3.3493661015360533e-25
Red_Nucleus_left,Left Red Nucleus,L. Red Nucleus,,,,,0.283347480780325,0.137437441359973,0.236706013667338,1.1938695228001436e-06,-0.100861186715624,6.152064114534881e-05
Substancia_Nigra_left,Left Substancia Nigra,L. Substancia Nigra,,,0.168666328108901,0.0003285206930817,,,0.201059721803365,1.977950619809415e-05,,
Tapatum_left,Left Tapatum,L. Tapatum,-0.068688213352925,0.0001836568377993,-0.575756244481159,2.2921337661331218e-68,,,0.148915659332333,0.007249887065832,-0.0672006833269149,8.148040160740641e-05
CAUDATE_NUCLEUS_left,Left Caudate Nucleus,L. Caudate Nucleus,-0.109142613267645,1.495633758924191e-08,-0.3827501539432,4.0255291499227815e-41,-0.337205575780962,0.0020701798033182,,,-0.0669720321476424,1.6256067847169467e-05
PUTAMEN_left,Left Putamen,L. Putamen,0.0833056247114636,1.4176088720282209e-05,0.763408685820342,7.043983066037962e-94,,,,,-0.0756441480259953,8.148040160740641e-05
THALAMUS_left,Left Thalamus,L. Thalamus,0.173096777573559,4.131484669393978e-23,0.397516048917276,3.41160655579645e-41,,,0.387839994661897,5.936133723124308e-13,-0.10733271950216,1.4399015936161457e-13
GLOBUS_PALLIDUS_left,Left Globus Pallidus,L. Globus Pallidus,,,0.312785548857207,4.014598173860091e-18,,,0.110380631319994,0.0796052669463772,-0.105351120305552,1.3711555816030156e-08
MIDBRAIN_left,Left Midbrain,L. Midbrain,-0.0571787983671154,0.0005158976090487,0.132108053175698,0.0001445662094516,,,0.2043943020886,3.5727125174418945e-05,-0.112443850114349,1.4572710625098042e-10
PONS_left,Left Pons,L. Pons,-0.103903877818617,7.646177516164413e-09,0.174194755223415,1.9478836234083677e-06,-0.318155742493669,0.0319076328063034,0.394978577773262,5.936133723124308e-13,-0.0926086252134175,5.290854742978648e-06
