ROI,beta_interval,p-value_interval,beta_motion,p-value_motion
Left Angular WM,0.373,1.2e-52,-0.343,1.8e-04
Left Body of Corpus Callosum,0.439,7.6e-60,-0.242,2.4e-02
Right Body of Corpus Callosum,0.336,2.6e-32,-0.357,1.1e-03
Left Inferior Cerebellar Peduncle,0.560,2.9e-55,-0.469,2.6e-04
Right Inferior Cerebellar Peduncle,0.605,1.7e-61,-0.346,1.1e-02
Left Middle Cerebellar Peduncle,0.603,1.8e-77,-0.237,5.8e-02
Right Middle Cerebellar Peduncle,0.382,2.5e-31,-0.389,2.1e-03
Left Cingulate Gyrus,0.884,2.3e-157,-0.263,4.4e-02
Left Cingulum (Cingulate Gyrus),0.247,1.9e-17,-0.630,2.0e-10
Right Cingulum (Cingulate Gyrus),0.498,3.0e-57,-0.476,1.2e-05
Left Cuneus,0.951,1.1e-288,-0.318,3.2e-04
Right Cuneus,1.061,0.0e+00,-0.471,5.4e-07
Left Cuneus WM,0.555,2.0e-96,-0.383,4.0e-05
Right Cuneus WM,0.585,1.4e-95,-0.393,7.9e-05
Left Fornix(cres) Stria Terminalis,0.340,5.4e-41,-0.313,1.4e-03
Right Fornix(cres) Stria Terminalis,0.509,9.0e-60,-0.433,9.9e-05
Left Middle Frontal WM,0.203,1.2e-15,-0.623,8.0e-12
Right Middle Frontal WM,0.275,5.4e-22,-0.716,2.5e-12
Left Superior Frontal WM,0.341,2.4e-48,-0.316,1.6e-04
Right Superior Frontal WM,0.338,3.5e-39,-0.440,7.3e-07
Right Inferior Fronto-occipital Fasciculus,0.243,2.8e-12,-0.469,1.8e-04
Left Lateral Fronto-orbital WM,0.372,7.3e-28,-0.566,1.7e-06
Right Lateral Fronto-orbital WM,0.410,1.0e-33,-0.376,2.5e-03
Left Middle Fronto-orbital WM,0.585,4.4e-59,-0.374,4.8e-03
Right Middle Fronto-orbital WM,0.691,3.0e-75,-0.242,1.3e-01
Right Fusiform WM,0.409,1.6e-30,-0.381,3.9e-03
Left Lingual WM,0.366,2.3e-36,-0.640,6.4e-10
Right Lingual WM,0.426,6.1e-45,-0.695,1.5e-10
Left Medulla,0.537,1.9e-48,-0.744,1.6e-08
Right Medulla,0.519,3.9e-45,-0.750,1.6e-08
Left Middle Occipital Gyrus,0.957,7.2e-218,-0.266,2.3e-02
Left Superior Occipital Gyrus,0.734,4.7e-163,-0.311,1.1e-03
Right Superior Occipital Gyrus,0.644,1.3e-134,-0.445,1.7e-06
Left Inferior Occipital WM,0.477,1.5e-60,-0.560,7.5e-08
Left Middle Occipital WM,0.544,3.5e-102,-0.501,2.2e-08
Right Middle Occipital WM,0.308,2.3e-38,-0.564,3.5e-11
Left Precuneus,0.875,2.8e-180,-0.251,2.6e-02
Right Precuneus,0.830,6.5e-153,-0.209,8.3e-02
Left Precuneus WM,0.549,3.0e-96,-0.341,6.2e-04
Right Precuneus WM,0.499,1.7e-76,-0.508,1.4e-07
Left Rectus WM,0.394,9.2e-25,-0.292,6.6e-02
